2026-07-11 15:56:04 | INFO     | src.face.mouth_features | Finished Mouth Feature Extraction
2026-07-11 15:56:04 | INFO     | src.face.mouth_features | Frames Processed    : 889
2026-07-11 15:56:04 | WARNING  | src.face.mouth_features | Frames Skipped (no face)   : 28
2026-07-11 15:56:04 | INFO     | src.face.mouth_features | CSV Saved To        : data\output\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5\mouth_signal.csv
2026-07-11 15:56:04 | INFO     | src.pipeline | Phase 3: Aligning signals...
2026-07-11 15:56:04 | INFO     | src.pipeline | Phase 4: Computing correlation...
2026-07-11 15:56:04 | INFO     | src.pipeline | Phase 5: Making final decision...
2026-07-11 15:56:04 | INFO     | src.pipeline | Pipeline completed in 21.5s with verdict: UNCERTAIN
2026-07-11 16:26:08 | INFO     | src.pipeline | Starting Lip-Sync pipeline for video: data\videos\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5.mp4
2026-07-11 16:26:08 | INFO     | src.pipeline | Job ID: 8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5
2026-07-11 16:26:08 | INFO     | src.pipeline | Phase 1: Extracting frames and audio...
2026-07-11 16:26:08 | INFO     | src.video.frame_extractor | Extracting Frames from data\videos\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5.mp4...
2026-07-11 16:26:09 | INFO     | src.video.frame_extractor | 100 frames saved...
2026-07-11 16:26:09 | INFO     | src.video.frame_extractor | 200 frames saved...
2026-07-11 16:26:10 | INFO     | src.video.frame_extractor | 300 frames saved...
2026-07-11 16:26:10 | INFO     | src.video.frame_extractor | 400 frames saved...
2026-07-11 16:26:11 | INFO     | src.video.frame_extractor | 500 frames saved...
2026-07-11 16:26:11 | INFO     | src.video.frame_extractor | 600 frames saved...
2026-07-11 16:26:12 | INFO     | src.video.frame_extractor | 700 frames saved...
2026-07-11 16:26:12 | INFO     | src.video.frame_extractor | 800 frames saved...
2026-07-11 16:26:13 | INFO     | src.video.frame_extractor | 900 frames saved...
2026-07-11 16:26:13 | INFO     | src.video.frame_extractor | Extraction Complete
2026-07-11 16:26:13 | INFO     | src.video.frame_extractor | Total Frames Saved : 917
2026-07-11 16:26:13 | INFO     | src.video.frame_extractor | FPS                : 29.967
2026-07-11 16:26:13 | INFO     | src.video.frame_extractor | Saved To           : data\frames\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5
2026-07-11 16:26:13 | INFO     | src.video.frame_extractor | Meta Saved To      : data\frames\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5\video_meta.json
2026-07-11 16:26:13 | INFO     | src.pipeline | Phase 2: Extracting mouth features and speech signal...
2026-07-11 16:26:13 | INFO     | src.face.mouth_features | Processing 917 frames...
2026-07-11 16:26:16 | INFO     | src.speech.speech_signal | Speech Signal Generated (mel_band)
2026-07-11 16:26:16 | INFO     | src.speech.speech_signal | Time Steps : 918
2026-07-11 16:26:16 | INFO     | src.speech.speech_signal | CSV Saved  : data\output\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5\speech_signal.csv
2026-07-11 16:26:30 | INFO     | src.face.mouth_features | Finished Mouth Feature Extraction
2026-07-11 16:26:30 | INFO     | src.face.mouth_features | Frames Processed    : 889
2026-07-11 16:26:30 | WARNING  | src.face.mouth_features | Frames Skipped (no face)   : 28
2026-07-11 16:26:30 | INFO     | src.face.mouth_features | CSV Saved To        : data\output\8a7140ca-8f6b-4fa4-9c8a-bd977f390bc5\mouth_signal.csv
2026-07-11 16:26:30 | INFO     | src.pipeline | Phase 3: Aligning signals...
2026-07-11 16:26:30 | INFO     | src.pipeline | Phase 4: Computing correlation...
2026-07-11 16:26:30 | INFO     | src.pipeline | Phase 5: Making final decision...
2026-07-11 16:26:30 | INFO     | src.pipeline | Pipeline completed in 22.0s with verdict: UNCERTAIN
2026-07-11 16:27:00 | INFO     | src.pipeline | Starting Lip-Sync pipeline for video: data\videos\f85a918a-e585-4396-a05d-269b9bf5d1c4.mp4
2026-07-11 16:27:00 | INFO     | src.pipeline | Job ID: f85a918a-e585-4396-a05d-269b9bf5d1c4
2026-07-11 16:27:00 | INFO     | src.pipeline | Phase 1: Extracting frames and audio...
2026-07-11 16:27:00 | INFO     | src.video.frame_extractor | Extracting Frames from data\videos\f85a918a-e585-4396-a05d-269b9bf5d1c4.mp4...
2026-07-11 16:27:01 | INFO     | src.video.frame_extractor | 100 frames saved...
2026-07-11 16:27:01 | INFO     | src.video.frame_extractor | 200 frames saved...
2026-07-11 16:27:02 | INFO     | src.video.frame_extractor | 300 frames saved...
2026-07-11 16:27:02 | INFO     | src.video.frame_extractor | 400 frames saved...
2026-07-11 16:27:03 | INFO     | src.video.frame_extractor | 500 frames saved...
2026-07-11 16:27:03 | INFO     | src.video.frame_extractor | 600 frames saved...
2026-07-11 16:27:04 | INFO     | src.video.frame_extractor | 700 frames saved...
2026-07-11 16:27:04 | INFO     | src.video.frame_extractor | Extraction Complete
2026-07-11 16:27:04 | INFO     | src.video.frame_extractor | Total Frames Saved : 749
2026-07-11 16:27:04 | INFO     | src.video.frame_extractor | FPS                : 29.978
2026-07-11 16:27:04 | INFO     | src.video.frame_extractor | Saved To           : data\frames\f85a918a-e585-4396-a05d-269b9bf5d1c4
2026-07-11 16:27:04 | INFO     | src.video.frame_extractor | Meta Saved To      : data\frames\f85a918a-e585-4396-a05d-269b9bf5d1c4\video_meta.json
2026-07-11 16:27:04 | INFO     | src.pipeline | Phase 2: Extracting mouth features and speech signal...
2026-07-11 16:27:04 | INFO     | src.face.mouth_features | Processing 749 frames...
2026-07-11 16:27:04 | INFO     | src.speech.speech_signal | Speech Signal Generated (mel_band)
2026-07-11 16:27:04 | INFO     | src.speech.speech_signal | Time Steps : 750
2026-07-11 16:27:04 | INFO     | src.speech.speech_signal | CSV Saved  : data\output\f85a918a-e585-4396-a05d-269b9bf5d1c4\speech_signal.csv
2026-07-11 16:27:16 | INFO     | src.face.mouth_features | Finished Mouth Feature Extraction
2026-07-11 16:27:16 | INFO     | src.face.mouth_features | Frames Processed    : 749
2026-07-11 16:27:16 | INFO     | src.face.mouth_features | CSV Saved To        : data\output\f85a918a-e585-4396-a05d-269b9bf5d1c4\mouth_signal.csv
2026-07-11 16:27:16 | INFO     | src.pipeline | Phase 3: Aligning signals...
2026-07-11 16:27:16 | INFO     | src.pipeline | Phase 4: Computing correlation...
2026-07-11 16:27:17 | INFO     | src.pipeline | Phase 5: Making final decision...
2026-07-11 16:27:17 | INFO     | src.pipeline | Pipeline completed in 16.3s with verdict: NOT_SYNCED
2026-07-11 16:33:17 | INFO     | src.pipeline | Starting Lip-Sync pipeline for video: data\videos\75699f01-e1e2-4b6e-a4f8-49c18163d4fa.mp4
2026-07-11 16:33:17 | INFO     | src.pipeline | Job ID: 75699f01-e1e2-4b6e-a4f8-49c18163d4fa
2026-07-11 16:33:17 | INFO     | src.pipeline | Phase 1: Extracting frames and audio...
2026-07-11 16:33:17 | INFO     | src.video.frame_extractor | Extracting Frames from data\videos\75699f01-e1e2-4b6e-a4f8-49c18163d4fa.mp4...
2026-07-11 16:33:18 | INFO     | src.video.frame_extractor | 100 frames saved...
2026-07-11 16:33:19 | INFO     | src.video.frame_extractor | 200 frames saved...
2026-07-11 16:33:20 | INFO     | src.video.frame_extractor | 300 frames saved...
2026-07-11 16:33:21 | INFO     | src.video.frame_extractor | 400 frames saved...
2026-07-11 16:33:21 | INFO     | src.video.frame_extractor | 500 frames saved...
2026-07-11 16:33:22 | INFO     | src.video.frame_extractor | 600 frames saved...
2026-07-11 16:33:23 | INFO     | src.video.frame_extractor | 700 frames saved...
2026-07-11 16:33:23 | INFO     | src.video.frame_extractor | 800 frames saved...
2026-07-11 16:33:24 | INFO     | src.video.frame_extractor | 900 frames saved...
2026-07-11 16:33:25 | INFO     | src.video.frame_extractor | 1000 frames saved...
2026-07-11 16:33:26 | INFO     | src.video.frame_extractor | 1100 frames saved...
2026-07-11 16:33:26 | INFO     | src.video.frame_extractor | 1200 frames saved...
2026-07-11 16:33:26 | INFO     | src.video.frame_extractor | Extraction Complete
2026-07-11 16:33:26 | INFO     | src.video.frame_extractor | Total Frames Saved : 1212
2026-07-11 16:33:26 | INFO     | src.video.frame_extractor | FPS                : 59.985
2026-07-11 16:33:26 | INFO     | src.video.frame_extractor | Saved To           : data\frames\75699f01-e1e2-4b6e-a4f8-49c18163d4fa
2026-07-11 16:33:26 | INFO     | src.video.frame_extractor | Meta Saved To      : data\frames\75699f01-e1e2-4b6e-a4f8-49c18163d4fa\video_meta.json
2026-07-11 16:33:26 | INFO     | src.pipeline | Phase 2: Extracting mouth features and speech signal...
2026-07-11 16:33:26 | INFO     | src.face.mouth_features | Processing 1212 frames...
2026-07-11 16:33:26 | INFO     | src.speech.speech_signal | Speech Signal Generated (mel_band)
2026-07-11 16:33:26 | INFO     | src.speech.speech_signal | Time Steps : 608
2026-07-11 16:33:26 | INFO     | src.speech.speech_signal | CSV Saved  : data\output\75699f01-e1e2-4b6e-a4f8-49c18163d4fa\speech_signal.csv
2026-07-11 16:33:53 | INFO     | src.face.mouth_features | Finished Mouth Feature Extraction
2026-07-11 16:33:53 | INFO     | src.face.mouth_features | Frames Processed    : 1212
2026-07-11 16:33:53 | INFO     | src.face.mouth_features | CSV Saved To        : data\output\75699f01-e1e2-4b6e-a4f8-49c18163d4fa\mouth_signal.csv
2026-07-11 16:33:53 | INFO     | src.pipeline | Phase 3: Aligning signals...
2026-07-11 16:33:53 | INFO     | src.pipeline | Phase 4: Computing correlation...
2026-07-11 16:33:53 | INFO     | src.pipeline | Phase 5: Making final decision...
2026-07-11 16:33:53 | INFO     | src.pipeline | Pipeline completed in 36.7s with verdict: UNCERTAIN
